stage,criterion,min_samples_split,min_samples_leaf,accuracy(%),score_standard_deviation(%),tempo(s)
stage1,gini,40,18,80.20823381999682,2.3396449020259986,4.505305528640747
stage1,gini,32,20,80.15219483153689,2.1367196071938532,4.412397623062134
stage1,gini,40,20,80.15212560486802,2.172814628911838,4.347146034240723
stage1,gini,36,20,80.15212560486802,2.1712239893976077,4.447956085205078
stage1,gini,22,20,80.11505472368177,2.195711223822527,4.42664361000061
stage1,gini,26,20,80.11495088367843,2.2000515306141546,4.389664888381958
stage1,gini,18,20,80.05922341522847,2.272594762252491,4.425671815872192
stage1,gini,40,16,79.83652122143535,2.637232365565865,4.517968416213989
stage1,gini,26,18,79.79882730022915,2.227942816222721,4.533826112747192
stage1,gini,18,18,79.72447785784998,2.1288796031602426,4.513062953948975
stage1,gini,22,18,79.68730313666036,2.2772878333964224,4.473705053329468
stage1,gini,32,18,79.57570974642272,2.402611481799171,4.537776708602905
stage1,gini,36,18,79.44542515558695,2.4026999631524064,4.494293928146362
stage1,gini,36,16,79.37114493987663,2.3903005576613476,4.530146598815918
stage1,gini,22,16,79.22244605511828,2.306422186495101,4.546401262283325
stage1,gini,18,16,79.20372024118572,2.3338699574168476,4.557707786560059
stage1,gini,26,16,79.18520210725981,2.410172209241391,4.530634641647339
stage1,gini,32,16,78.99925927464295,2.3218337184283033,4.517322540283203
