stage,n_neighbors,weights,leaf_size,p,accuracy(%),score_standard_deviation(%),tempo(s)
stage3,40,distance,120,2,75.85774058577405,2.194559672291776,0.415071964263916
stage3,40,distance,60,2,75.85774058577405,2.194559672291776,0.41055822372436523
stage3,40,distance,30,2,75.85774058577405,2.194559672291776,0.436690092086792
stage3,40,distance,15,2,75.85774058577405,2.194559672291776,0.4086496829986572
stage3,20,distance,30,2,75.77405857740585,1.9146545922422695,0.43166518211364746
stage3,20,distance,120,2,75.77405857740585,1.9146545922422695,0.39675283432006836
stage3,20,distance,60,2,75.77405857740585,1.9146545922422695,0.4095454216003418
stage3,20,distance,15,2,75.77405857740585,1.9146545922422695,0.40685200691223145
stage3,20,uniform,15,2,75.52301255230127,1.730215324530154,0.4552891254425049
stage3,20,uniform,120,2,75.52301255230127,1.730215324530154,0.4433779716491699
stage3,20,uniform,60,2,75.52301255230127,1.730215324530154,0.4519803524017334
stage3,20,uniform,30,2,75.52301255230127,1.730215324530154,0.42935872077941895
stage3,40,uniform,120,2,75.27196652719665,2.097899771836263,0.44039320945739746
stage3,40,uniform,60,2,75.27196652719665,2.097899771836263,0.46585631370544434
stage3,40,uniform,30,2,75.27196652719665,2.097899771836263,0.43649744987487793
stage3,40,uniform,15,2,75.27196652719665,2.097899771836263,0.46782517433166504
stage3,10,distance,30,2,75.2092050209205,1.7807022124407257,0.4288902282714844
stage3,10,distance,120,2,75.2092050209205,1.7807022124407257,0.4001438617706299
stage3,10,distance,60,2,75.2092050209205,1.7807022124407257,0.4264075756072998
stage3,10,distance,15,2,75.2092050209205,1.7807022124407257,0.4067075252532959
stage3,80,distance,30,2,75.02092050209205,2.2594142259414225,0.42654848098754883
stage3,80,distance,120,2,75.02092050209205,2.2594142259414225,0.4302229881286621
stage3,80,distance,60,2,75.02092050209205,2.2594142259414225,0.4010152816772461
stage3,80,distance,15,2,75.02092050209205,2.2594142259414225,0.4230473041534424
stage3,10,uniform,60,2,74.7071129707113,2.0010545004599556,0.4504363536834717
stage3,10,uniform,30,2,74.7071129707113,2.0010545004599556,0.44176578521728516
stage3,10,uniform,15,2,74.7071129707113,2.0010545004599556,0.4482271671295166
stage3,10,uniform,120,2,74.7071129707113,2.0010545004599556,0.4363260269165039
stage3,5,uniform,15,2,74.6234309623431,1.3878668025625107,0.4707832336425781
stage3,5,uniform,30,2,74.6234309623431,1.3878668025625107,0.42830419540405273
stage3,5,uniform,120,2,74.6234309623431,1.3878668025625107,0.4656691551208496
stage3,5,uniform,60,2,74.6234309623431,1.3878668025625107,0.42508912086486816
stage3,5,distance,120,2,74.60251046025105,1.5033677174244118,0.4029414653778076
stage3,5,distance,60,2,74.60251046025105,1.5033677174244118,0.40966200828552246
stage3,5,distance,30,2,74.60251046025105,1.5033677174244118,0.41878795623779297
stage3,5,distance,15,2,74.60251046025105,1.5033677174244118,0.40021657943725586
stage3,80,uniform,15,2,73.89121338912135,2.4714542971752915,0.4524877071380615
stage3,80,uniform,60,2,73.89121338912135,2.4714542971752915,0.4870922565460205
stage3,80,uniform,30,2,73.89121338912135,2.4714542971752915,0.4430356025695801
stage3,80,uniform,120,2,73.89121338912135,2.4714542971752915,0.4367635250091553
stage3,3,uniform,15,2,73.8284518828452,1.4537867492126952,0.6025276184082031
stage3,3,uniform,30,2,73.8284518828452,1.4537867492126952,0.4197876453399658
stage3,3,uniform,120,2,73.8284518828452,1.4537867492126952,0.4554426670074463
stage3,3,uniform,60,2,73.8284518828452,1.4537867492126952,0.41658759117126465
stage3,3,distance,120,2,73.68200836820084,1.3356393053985263,0.4169783592224121
stage3,3,distance,60,2,73.68200836820084,1.3356393053985263,0.38975048065185547
stage3,3,distance,30,2,73.68200836820084,1.3356393053985263,0.42044663429260254
stage3,3,distance,15,2,73.68200836820084,1.3356393053985263,0.4055793285369873
stage3,160,distance,15,2,73.64016736401673,2.5278338856892417,0.46836376190185547
stage3,160,distance,30,2,73.64016736401673,2.5278338856892417,0.42842793464660645
stage3,160,distance,60,2,73.64016736401673,2.5278338856892417,0.4551999568939209
stage3,160,distance,120,2,73.64016736401673,2.5278338856892417,0.43816494941711426
stage3,160,uniform,15,2,72.25941422594143,2.7312274343711462,0.46490979194641113
stage3,160,uniform,30,2,72.25941422594143,2.7312274343711462,0.4863464832305908
stage3,160,uniform,60,2,72.25941422594143,2.7312274343711462,0.4750101566314697
stage3,160,uniform,120,2,72.25941422594143,2.7312274343711462,0.4709663391113281
