penalty,dual,C,fit_intercept,solver,accuracy(%),score_standard_deviation(%),tempo(s)
l1,False,1.0,True,liblinear,95.08547376253628,0.3962295637143147,2686.817765712738
l1,False,2.0,False,liblinear,94.98213268691586,0.36049850018524315,2747.4144039154053
l1,False,1.5,True,liblinear,94.88206787727883,0.5162410158387654,2753.001928806305
l1,False,1.0,False,liblinear,94.82300361134536,0.38994642841598987,2615.6622936725616
l1,False,2.0,True,liblinear,94.7245878313718,0.4928418962034166,2804.859379053116
l1,False,1.5,False,liblinear,94.69179100172755,0.49023263978643034,2702.055763244629
l2,False,2.0,False,newton-cg,77.63689744364618,0.4472888552466442,172.8335907459259
l2,False,1.5,False,newton-cg,77.63360960835695,0.6272955412419027,147.14599871635437
l2,False,1.0,False,newton-cg,77.60901084264582,0.4151589948404278,145.20096468925476
l2,False,1.5,True,newton-cg,77.60572677410731,0.5396500252602433,176.2958447933197
none,False,2.0,True,newton-cg,77.55158753476711,0.6362759885179893,166.4326639175415
none,False,1.5,True,newton-cg,77.55158753476711,0.6362759885179893,160.40060997009277
none,False,1.0,True,newton-cg,77.55158753476711,0.6362759885179893,163.32633423805237
l2,False,2.0,True,newton-cg,77.54339808054992,0.4541897717598417,163.47364568710327
none,False,1.5,False,newton-cg,77.4859769251002,0.39507766651970655,164.32378768920898
none,False,1.0,False,newton-cg,77.4859769251002,0.39507766651970655,157.863924741745
none,False,2.0,False,newton-cg,77.4859769251002,0.39507766651970655,153.51531314849854
l2,False,1.0,True,newton-cg,77.40560388117387,0.4849692585897236,168.685040473938
l2,False,1.0,True,lbfgs,71.30179416795059,0.5237816660856416,16.377607583999634
none,False,1.5,False,lbfgs,71.25093227080829,0.47184122716331117,14.92548131942749
none,False,1.0,False,lbfgs,71.25093227080829,0.47184122716331117,14.644167423248291
none,False,2.0,False,lbfgs,71.25093227080829,0.47184122716331117,15.444761514663696
l2,False,2.0,True,lbfgs,71.07544312055711,0.7604669745361958,16.070462942123413
l2,False,1.5,False,lbfgs,71.0672477471602,0.6974588627503846,15.907205820083618
l2,False,1.0,False,lbfgs,70.9983223968416,0.8533867592248686,17.048064470291138
none,False,1.0,True,lbfgs,70.97539310886943,0.9960646474433347,14.914426803588867
none,False,1.5,True,lbfgs,70.97539310886943,0.9960646474433347,15.265132427215576
none,False,2.0,True,lbfgs,70.97539310886943,0.9960646474433347,15.222994804382324
l2,False,1.5,True,lbfgs,70.95241377692312,0.8194980163269006,15.539686679840088
l2,False,2.0,False,lbfgs,70.92944951197977,0.776028768274236,16.777645587921143
l2,False,1.5,True,liblinear,69.90095221306291,1.414249141686645,39.543505907058716
l2,False,1.0,False,liblinear,69.4121041091161,1.6673731112527572,32.995678186416626
l2,False,2.0,False,liblinear,69.41046395822221,1.666671242824674,32.463953256607056
l2,False,1.5,False,liblinear,68.55086830061857,1.937502453304571,32.71726655960083
