penalty,dual,C,fit_intercept,solver,accuracy(%),score_standard_deviation(%),tempo(s)
l1,False,1.0,False,liblinear,89.84389447657443,0.34419006986400097,3384.1035792827606
l1,False,1.5,False,liblinear,89.82868470871338,0.3107047037239503,3654.599463701248
l1,False,1.5,True,liblinear,89.78813282225121,0.33366493681886233,3327.5494735240936
l1,False,2.0,False,liblinear,89.78560567663457,0.3755705173839987,3539.834780931473
l1,False,2.0,True,liblinear,89.76533326652522,0.40647423955653117,3175.283174276352
l1,False,1.0,True,liblinear,89.73744986982052,0.3643120059795099,2939.5485184192657
l2,False,2.0,True,newton-cg,74.89992079383462,0.6982073320684645,94.85756206512451
none,False,2.0,False,newton-cg,74.87964195986758,0.6623375245534764,92.81774592399597
none,False,1.0,False,newton-cg,74.87964195986758,0.6623375245534764,89.88891673088074
none,False,1.5,False,newton-cg,74.87964195986758,0.6623375245534764,91.7391300201416
l2,False,1.0,True,newton-cg,74.86191596694796,0.7698956418554648,87.37885808944702
l2,False,1.5,True,newton-cg,74.8619108278618,0.6948254481304866,95.3780767917633
l2,False,1.5,False,newton-cg,74.8568314835835,0.6788431467335992,94.72032189369202
l2,False,1.0,False,newton-cg,74.82895900743691,0.6505527971127855,93.9245924949646
none,False,1.0,True,newton-cg,74.81629437199405,0.6751138616081624,95.12677097320557
none,False,1.5,True,newton-cg,74.81629437199405,0.6751138616081624,97.76031827926636
none,False,2.0,True,newton-cg,74.81629437199405,0.6751138616081624,92.00798201560974
l2,False,2.0,False,newton-cg,74.81375116673317,0.6818533423301462,91.17945003509521
l2,False,1.5,False,liblinear,70.4440491630677,1.3794245531885,26.944594860076904
l2,False,1.5,True,liblinear,70.38576871414284,1.2341608624110463,29.47393250465393
l2,False,2.0,False,liblinear,70.29712076274318,1.5382868618967653,25.75023365020752
l2,False,1.0,False,liblinear,70.29712076274318,1.5382868618967653,26.59320592880249
l2,False,2.0,True,liblinear,70.14507511737993,1.393778417403228,26.061739206314087
l2,False,1.0,True,liblinear,70.14507511737993,1.393778417403228,26.493222951889038
none,False,1.5,False,lbfgs,70.09176930385297,0.8281386961819116,11.42292332649231
none,False,1.0,False,lbfgs,70.09176930385297,0.8281386961819116,11.10241150856018
none,False,2.0,False,lbfgs,70.09176930385297,0.8281386961819116,11.019850492477417
l2,False,1.0,False,lbfgs,70.08417630405917,0.8641035137108661,10.866619348526001
l2,False,1.5,False,lbfgs,70.06642590048033,0.7888593691719648,11.201977968215942
l2,False,1.5,True,lbfgs,70.04868384791645,0.83599602220608,11.231469869613647
l2,False,2.0,True,lbfgs,70.04361156988162,0.8489500901962004,11.029677867889404
l2,False,1.0,True,lbfgs,70.02079916644023,0.8398703262746918,11.04060173034668
none,False,2.0,True,lbfgs,70.01573138510577,0.8401348744735115,10.930214881896973
none,False,1.0,True,lbfgs,70.01573138510577,0.8401348744735115,11.153316497802734
none,False,1.5,True,lbfgs,70.01573138510577,0.8401348744735115,11.411178588867188
l2,False,2.0,False,lbfgs,69.98785055794417,0.7898961583939738,10.738799571990967
l2,True,1.0,False,liblinear,59.30699680156124,5.110695090372632,38.64566206932068
l2,True,1.5,True,liblinear,58.55923856729986,5.076022158936857,39.799768686294556
l2,True,2.0,True,liblinear,58.0954309027383,4.144221014950929,39.390652894973755
l2,True,1.0,True,liblinear,57.256403783138275,4.051107527502723,40.498024225234985
l2,True,2.0,False,liblinear,56.85848369978229,4.294462698436317,38.42792892456055
l2,True,1.5,False,liblinear,56.397405532354725,5.286268119271452,39.793392181396484
none,False,1.5,True,sag,50.0,0.009817448279361828,30.5810124874115
none,False,1.5,False,sag,50.0,0.009817448279361828,32.30423593521118
none,False,1.5,True,saga,50.0,0.009817448279361828,35.977577209472656
none,False,2.0,True,sag,50.0,0.009817448279361828,30.559852600097656
none,False,2.0,True,saga,50.0,0.009817448279361828,35.92928981781006
none,False,1.0,False,saga,50.0,0.009817448279361828,36.666884422302246
none,False,1.0,False,sag,50.0,0.009817448279361828,30.592089653015137
none,False,2.0,False,sag,50.0,0.009817448279361828,31.144558429718018
none,False,1.5,False,saga,50.0,0.009817448279361828,37.005727767944336
l2,False,1.5,False,sag,50.0,0.009817448279361828,31.07278537750244
none,False,1.0,True,saga,50.0,0.009817448279361828,37.09899568557739
none,False,1.0,True,sag,50.0,0.009817448279361828,31.8839008808136
l1,False,1.0,False,saga,50.0,0.009817448279361828,64.73776698112488
l1,False,1.5,True,saga,50.0,0.009817448279361828,64.89459109306335
l1,False,1.5,False,saga,50.0,0.009817448279361828,65.29665112495422
l1,False,2.0,True,saga,50.0,0.009817448279361828,68.27844762802124
l1,False,2.0,False,saga,50.0,0.009817448279361828,67.69351887702942
l2,False,1.0,True,sag,50.0,0.009817448279361828,30.428791522979736
l2,False,1.0,True,saga,50.0,0.009817448279361828,36.19664978981018
l2,False,1.0,False,sag,50.0,0.009817448279361828,30.485161781311035
l2,False,1.0,False,saga,50.0,0.009817448279361828,37.695019245147705
l2,False,1.5,True,sag,50.0,0.009817448279361828,30.49147081375122
l2,False,1.5,True,saga,50.0,0.009817448279361828,36.670159101486206
l1,False,1.0,True,saga,50.0,0.009817448279361828,65.1334400177002
l2,False,1.5,False,saga,50.0,0.009817448279361828,37.79549956321716
l2,False,2.0,True,sag,50.0,0.009817448279361828,30.813499927520752
l2,False,2.0,True,saga,50.0,0.009817448279361828,36.77267622947693
l2,False,2.0,False,sag,50.0,0.009817448279361828,30.741552114486694
l2,False,2.0,False,saga,50.0,0.009817448279361828,36.49104714393616
none,False,2.0,False,saga,50.0,0.009817448279361828,36.278087854385376
