stage,criterion,bootstrap,max_features,min_samples_leaf,min_samples_split,n_estimators,max_depth,accuracy(%),score_standard_deviation(%),tempo(s)
awake,entropy,False,auto,2,5,100,None,95.24129643811744,0.1631696363786466,254.73798608779907
awake,gini,False,auto,2,10,100,None,95.22981538186028,0.19966962530225496,233.61467170715332
awake,gini,False,auto,4,5,100,None,95.19208599212125,0.22003661586208217,222.8095245361328
awake,gini,False,auto,2,5,100,None,95.192085454014,0.16151224045298185,234.91315412521362
awake,entropy,False,auto,2,10,100,None,95.18060439775684,0.22345657845682632,253.5591013431549
awake,entropy,False,auto,4,5,100,None,95.14779411543132,0.2181569745088341,247.48517847061157
awake,entropy,False,auto,4,10,100,None,95.14779357732408,0.18035669450408431,243.19011211395264
awake,gini,True,auto,2,5,100,None,95.10678657633352,0.1537568003003499,144.61256098747253
awake,gini,False,auto,4,10,100,None,95.10022355127539,0.1393002421173475,231.08431148529053
awake,entropy,True,auto,2,10,100,None,95.06249954260883,0.22631880638477211,155.2452108860016
awake,gini,True,auto,2,10,100,None,95.05429340706695,0.15661285353817908,143.39759063720703
awake,gini,True,auto,4,5,100,None,95.0247733815133,0.1441924454355463,137.90076327323914
awake,entropy,True,auto,4,10,100,None,95.01328828945176,0.09416313959016513,151.96523928642273
awake,entropy,True,auto,4,5,100,None,95.00016466081809,0.21080240268330808,154.62320566177368
awake,gini,True,auto,4,10,100,None,94.97227698360321,0.13771728743912176,136.40060210227966
awake,entropy,True,auto,2,5,100,None,94.97063710176296,0.1421066843517424,154.4848117828369
