stage,criterion,bootstrap,max_features,min_samples_leaf,min_samples_split,n_estimators,max_depth,accuracy(%),score_standard_deviation(%),tempo(s)
stage3,entropy,False,auto,2,5,100,None,91.8410041841004,0.8262936258632417,14.78680682182312
stage3,entropy,False,auto,4,5,100,None,91.82008368200837,0.8443697100673877,14.08440113067627
stage3,entropy,True,auto,4,10,100,None,91.63179916317993,0.9541216946436278,8.509304523468018
stage3,gini,False,auto,2,5,100,None,91.58995815899583,0.9980636353034774,13.899123430252075
stage3,entropy,False,auto,2,10,100,None,91.58995815899583,0.9393282142528723,14.66245174407959
stage3,entropy,True,auto,4,5,100,None,91.5899581589958,0.8666240659919636,8.571162939071655
stage3,gini,False,auto,4,10,100,None,91.56903765690376,0.7189472919430797,12.666839599609375
stage3,gini,True,auto,4,5,100,None,91.56903765690375,0.9814815151246783,7.65740704536438
stage3,gini,True,auto,2,5,100,None,91.52719665271967,0.8169717234211985,8.411495447158813
stage3,entropy,True,auto,2,5,100,None,91.52719665271967,0.7557486137317344,8.778956413269043
stage3,entropy,False,auto,4,10,100,None,91.52719665271967,0.6697828700243571,14.375909805297852
stage3,gini,False,auto,4,5,100,None,91.5062761506276,0.805914656245114,12.641823530197144
stage3,entropy,True,auto,2,10,100,None,91.4644351464435,1.1219320232461865,8.80447006225586
stage3,gini,True,auto,2,10,100,None,91.44351464435147,0.854673565515295,8.35945463180542
stage3,gini,True,auto,4,10,100,None,91.42259414225944,0.7883449239086525,7.782569169998169
stage3,gini,False,auto,2,10,100,None,91.31799163179915,0.9414225941422615,13.744386911392212
